,coefficient
purpose_wedding,-0.5850625129730248
annual_income,-0.19105370129087437
purpose_house,-0.0251685472310852
purpose_educational,0.021313283917469505
purpose_home_improvement,0.05403267480924666
purpose_renewable_energy,0.06316102676366248
loan_amount,0.07061724992761079
purpose_credit_card,0.10940336348908562
purpose_other,0.11404332986935722
purpose_debt_consolidation,0.131572439107246
purpose_major_purchase,0.13575341277426245
purpose_vacation,0.1539096088128345
term_months,0.16665682267414017
purpose_moving,0.2281119234905133
purpose_medical,0.25038301887510506
purpose_small_business,0.4646498785355596
grade_B,0.8022107791261078
grade_C,1.3482566451450297
grade_D,1.7043023549323846
grade_E,1.9578287823279816
grade_F,2.1551814119153136
grade_G,2.3008727242633036
